id_gestion;id_documento;fecha_gestion;tipo_gestion;resultado;ejecutivo_cobranza
GES-000526;DOC-2024-01437;2024-05-28;EMAIL;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000852;DOC-2024-01822;2024-06-02;LLAMADA;COMPROMISO_PAGO;Hector Manriquez Salas
GES-000929;DOC-2024-01834;2024-06-05;CARTA_CERTIFICADA;COMPROMISO_PAGO;Cristian Bravo Aguilera
GES-000626;DOC-2024-00225;2024-06-06;EMAIL;SIN_RESPUESTA;Hector Manriquez Salas
GES-000545;DOC-2024-00126;2024-06-07;LLAMADA;SIN_RESPUESTA;Hector Manriquez Salas
GES-000343;DOC-2024-00846;2024-06-13;CARTA_CERTIFICADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000652;DOC-2024-01431;2024-06-16;EMAIL;INCOBRABLE_DECLARADO;Cristian Bravo Aguilera
GES-000960;DOC-2024-00401;2024-06-23;EMAIL;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000208;DOC-2024-00172;2024-06-26;EMAIL;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000597;DOC-2024-00509;2024-06-26;CARTA_CERTIFICADA;INCOBRABLE_DECLARADO;Paula Zambrano Leiva
GES-000487;DOC-2024-01170;2024-06-29;EMAIL;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000627;DOC-2024-00225;2024-06-30;LLAMADA;SIN_RESPUESTA;Hector Manriquez Salas
GES-000164;DOC-2024-01642;2024-07-01;EMAIL;COMPROMISO_PAGO;Paula Zambrano Leiva
GES-000473;DOC-2024-00947;2024-07-01;EMAIL;SIN_RESPUESTA;Nataly Poblete Ruiz
GES-000699;DOC-2024-01434;2024-07-04;EMAIL;COMPROMISO_PAGO;Nataly Poblete Ruiz
GES-000589;DOC-2024-01400;2024-07-05;CARTA_CERTIFICADA;SIN_RESPUESTA;Hector Manriquez Salas
GES-000836;DOC-2024-00098;2024-07-05;CARTA_CERTIFICADA;PAGO_PARCIAL;Ximena Toro Pacheco
GES-000285;DOC-2024-00211;2024-07-06;EMAIL;PAGO_PARCIAL;Ximena Toro Pacheco
GES-000653;DOC-2024-01431;2024-07-07;CARTA_CERTIFICADA;PAGO_PARCIAL;Cristian Bravo Aguilera
GES-000344;DOC-2024-00846;2024-07-08;DEMANDA_JUDICIAL;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000839;DOC-2024-00157;2024-07-09;LLAMADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000150;DOC-2024-00481;2024-07-11;CARTA_CERTIFICADA;COMPROMISO_PAGO;Hector Manriquez Salas
GES-000877;DOC-2024-01041;2024-07-13;LLAMADA;PAGO_PARCIAL;Paula Zambrano Leiva
GES-000564;DOC-2024-00854;2024-07-15;PREJUDICIAL;INCOBRABLE_DECLARADO;Paula Zambrano Leiva
GES-000630;DOC-2024-00013;2024-07-15;LLAMADA;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000278;DOC-2024-00573;2024-07-17;EMAIL;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000512;DOC-2024-00063;2024-07-17;LLAMADA;DISPUTA;Cristian Bravo Aguilera
GES-000578;DOC-2024-00793;2024-07-17;CARTA_CERTIFICADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000670;DOC-2024-01690;2024-07-18;LLAMADA;SIN_RESPUESTA;Hector Manriquez Salas
GES-000598;DOC-2024-00509;2024-07-20;PREJUDICIAL;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000982;DOC-2024-01408;2024-07-22;LLAMADA;PAGO_PARCIAL;Hector Manriquez Salas
GES-000800;DOC-2024-01960;2024-07-23;EMAIL;SIN_RESPUESTA;Hector Manriquez Salas
GES-000661;DOC-2024-01583;2024-07-26;CARTA_CERTIFICADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000700;DOC-2024-01434;2024-07-26;PREJUDICIAL;SIN_RESPUESTA;Nataly Poblete Ruiz
GES-000784;DOC-2024-01821;2024-07-28;EMAIL;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000910;DOC-2024-00107;2024-07-29;LLAMADA;COMPROMISO_PAGO;Hector Manriquez Salas
GES-000687;DOC-2024-01544;2024-07-30;LLAMADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000926;DOC-2024-00681;2024-07-30;CARTA_CERTIFICADA;SIN_RESPUESTA;Nataly Poblete Ruiz
GES-000209;DOC-2024-00172;2024-07-31;EMAIL;COMPROMISO_PAGO;Ximena Toro Pacheco
GES-000614;DOC-2024-01609;2024-08-08;CARTA_CERTIFICADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000191;DOC-2024-00857;2024-08-11;CARTA_CERTIFICADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000404;DOC-2024-00602;2024-08-11;EMAIL;DISPUTA;Hector Manriquez Salas
GES-000361;DOC-2024-01260;2024-08-15;LLAMADA;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-001010;DOC-2024-00535;2024-08-16;PREJUDICIAL;INCOBRABLE_DECLARADO;Ximena Toro Pacheco
GES-000536;DOC-2024-00910;2024-08-18;LLAMADA;PAGO_PARCIAL;Hector Manriquez Salas
GES-000291;DOC-2024-01106;2024-08-20;LLAMADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000565;DOC-2024-00854;2024-08-20;DEMANDA_JUDICIAL;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000654;DOC-2024-01431;2024-08-24;PREJUDICIAL;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000801;DOC-2024-01960;2024-08-25;VISITA;PAGO_PARCIAL;Hector Manriquez Salas
GES-000131;DOC-2024-01978;2024-08-26;EMAIL;INCOBRABLE_DECLARADO;Paula Zambrano Leiva
GES-000840;DOC-2024-00157;2024-08-26;CARTA_CERTIFICADA;INCOBRABLE_DECLARADO;Ximena Toro Pacheco
GES-000986;DOC-2024-01677;2024-08-26;EMAIL;PAGO_PARCIAL;Nataly Poblete Ruiz
GES-000210;DOC-2024-00172;2024-08-30;PREJUDICIAL;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000527;DOC-2024-01437;2024-08-31;CARTA_CERTIFICADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000930;DOC-2024-01834;2024-09-01;CARTA_CERTIFICADA;COMPROMISO_PAGO;Cristian Bravo Aguilera
GES-000488;DOC-2024-01170;2024-09-02;CARTA_CERTIFICADA;COMPROMISO_PAGO;Cristian Bravo Aguilera
GES-000517;DOC-2024-00711;2024-09-03;LLAMADA;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000151;DOC-2024-00481;2024-09-04;CARTA_CERTIFICADA;SIN_RESPUESTA;Hector Manriquez Salas
GES-000781;DOC-2024-00761;2024-09-05;LLAMADA;SIN_RESPUESTA;Hector Manriquez Salas
GES-000272;DOC-2024-00351;2024-09-06;LLAMADA;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000279;DOC-2024-00573;2024-09-06;CARTA_CERTIFICADA;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000165;DOC-2024-01642;2024-09-07;EMAIL;PAGO_PARCIAL;Paula Zambrano Leiva
GES-000819;DOC-2024-01548;2024-09-09;EMAIL;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000537;DOC-2024-00910;2024-09-11;LLAMADA;SIN_RESPUESTA;Hector Manriquez Salas
GES-000634;DOC-2024-01312;2024-09-11;EMAIL;COMPROMISO_PAGO;Cristian Bravo Aguilera
GES-000983;DOC-2024-01408;2024-09-11;VISITA;PAGO_PARCIAL;Hector Manriquez Salas
GES-000961;DOC-2024-00401;2024-09-12;CARTA_CERTIFICADA;INCOBRABLE_DECLARADO;Ximena Toro Pacheco
GES-000292;DOC-2024-01106;2024-09-14;EMAIL;PAGO_PARCIAL;Ximena Toro Pacheco
GES-000615;DOC-2024-01609;2024-09-15;PREJUDICIAL;SIN_RESPUESTA;Ximena Toro Pacheco
GES-001013;DOC-2024-01392;2024-09-15;LLAMADA;SIN_RESPUESTA;Nataly Poblete Ruiz
GES-000628;DOC-2024-00225;2024-09-18;CARTA_CERTIFICADA;SIN_RESPUESTA;Hector Manriquez Salas
GES-000853;DOC-2024-01822;2024-09-18;PREJUDICIAL;PAGO_PARCIAL;Hector Manriquez Salas
GES-000528;DOC-2024-01437;2024-09-22;LLAMADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000546;DOC-2024-00126;2024-09-23;LLAMADA;COMPROMISO_PAGO;Hector Manriquez Salas
GES-000995;DOC-2024-00062;2024-09-23;EMAIL;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000655;DOC-2024-01431;2024-09-24;DEMANDA_JUDICIAL;DISPUTA;Cristian Bravo Aguilera
GES-000837;DOC-2024-00098;2024-09-25;CARTA_CERTIFICADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000192;DOC-2024-00857;2024-09-27;DEMANDA_JUDICIAL;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000782;DOC-2024-00761;2024-09-29;EMAIL;SIN_RESPUESTA;Hector Manriquez Salas
GES-000878;DOC-2024-01041;2024-10-01;CARTA_CERTIFICADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000495;DOC-2024-01097;2024-10-03;EMAIL;SIN_RESPUESTA;Nataly Poblete Ruiz
GES-000599;DOC-2024-00509;2024-10-04;PREJUDICIAL;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000211;DOC-2024-00172;2024-10-05;CARTA_CERTIFICADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000927;DOC-2024-00681;2024-10-06;PREJUDICIAL;SIN_RESPUESTA;Nataly Poblete Ruiz
GES-000293;DOC-2024-01106;2024-10-07;VISITA;PAGO_PARCIAL;Ximena Toro Pacheco
GES-000579;DOC-2024-00793;2024-10-08;LLAMADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000767;DOC-2024-01127;2024-10-08;LLAMADA;DISPUTA;Ximena Toro Pacheco
GES-000489;DOC-2024-01170;2024-10-09;CARTA_CERTIFICADA;DISPUTA;Cristian Bravo Aguilera
GES-000671;DOC-2024-01690;2024-10-11;LLAMADA;INCOBRABLE_DECLARADO;Hector Manriquez Salas
GES-000286;DOC-2024-00211;2024-10-12;EMAIL;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000529;DOC-2024-01437;2024-10-18;PREJUDICIAL;INCOBRABLE_DECLARADO;Paula Zambrano Leiva
GES-000701;DOC-2024-01434;2024-10-18;VISITA;INCOBRABLE_DECLARADO;Nataly Poblete Ruiz
GES-000152;DOC-2024-00481;2024-10-19;PREJUDICIAL;SIN_RESPUESTA;Hector Manriquez Salas
GES-000362;DOC-2024-01260;2024-10-19;CARTA_CERTIFICADA;DISPUTA;Cristian Bravo Aguilera
GES-000513;DOC-2024-00063;2024-10-20;EMAIL;DISPUTA;Cristian Bravo Aguilera
GES-001014;DOC-2024-01392;2024-10-21;LLAMADA;SIN_RESPUESTA;Nataly Poblete Ruiz
GES-000601;DOC-2024-00115;2024-10-23;LLAMADA;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000962;DOC-2024-00401;2024-10-23;LLAMADA;COMPROMISO_PAGO;Ximena Toro Pacheco
GES-001011;DOC-2024-00535;2024-10-23;DEMANDA_JUDICIAL;PAGO_PARCIAL;Ximena Toro Pacheco
GES-000737;DOC-2024-01818;2024-10-24;LLAMADA;COMPROMISO_PAGO;Hector Manriquez Salas
GES-000879;DOC-2024-01041;2024-10-24;VISITA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000911;DOC-2024-00107;2024-10-24;LLAMADA;INCOBRABLE_DECLARADO;Hector Manriquez Salas
GES-000820;DOC-2024-01548;2024-10-26;CARTA_CERTIFICADA;DISPUTA;Cristian Bravo Aguilera
GES-000616;DOC-2024-01609;2024-10-28;VISITA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000987;DOC-2024-01677;2024-10-28;EMAIL;DISPUTA;Nataly Poblete Ruiz
GES-000631;DOC-2024-00013;2024-10-31;CARTA_CERTIFICADA;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000538;DOC-2024-00910;2024-11-01;LLAMADA;DISPUTA;Hector Manriquez Salas
GES-000785;DOC-2024-01821;2024-11-05;CARTA_CERTIFICADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-001020;DOC-2024-00873;2024-11-05;EMAIL;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000289;DOC-2024-00707;2024-11-06;LLAMADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000956;DOC-2024-01430;2024-11-08;EMAIL;DISPUTA;Paula Zambrano Leiva
GES-000841;DOC-2024-00157;2024-11-09;LLAMADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000997;DOC-2024-01596;2024-11-11;EMAIL;COMPROMISO_PAGO;Ximena Toro Pacheco
GES-000410;DOC-2024-01291;2024-11-13;EMAIL;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000635;DOC-2024-01312;2024-11-13;LLAMADA;COMPROMISO_PAGO;Cristian Bravo Aguilera
GES-000244;DOC-2024-00292;2024-11-15;EMAIL;COMPROMISO_PAGO;Ximena Toro Pacheco
GES-000821;DOC-2024-01548;2024-11-15;DEMANDA_JUDICIAL;INCOBRABLE_DECLARADO;Cristian Bravo Aguilera
GES-000802;DOC-2024-01960;2024-11-17;VISITA;INCOBRABLE_DECLARADO;Hector Manriquez Salas
GES-000831;DOC-2024-01628;2024-11-18;LLAMADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000460;DOC-2024-00751;2024-11-19;EMAIL;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000629;DOC-2024-00225;2024-11-19;LLAMADA;SIN_RESPUESTA;Hector Manriquez Salas
GES-000273;DOC-2024-00351;2024-11-21;CARTA_CERTIFICADA;PAGO_PARCIAL;Cristian Bravo Aguilera
GES-000405;DOC-2024-00602;2024-11-21;CARTA_CERTIFICADA;INCOBRABLE_DECLARADO;Hector Manriquez Salas
GES-000474;DOC-2024-00584;2024-11-21;EMAIL;INCOBRABLE_DECLARADO;Cristian Bravo Aguilera
GES-000904;DOC-2024-00314;2024-11-21;EMAIL;COMPROMISO_PAGO;Ximena Toro Pacheco
GES-000973;DOC-2024-01196;2024-11-21;EMAIL;COMPROMISO_PAGO;Cristian Bravo Aguilera
GES-000496;DOC-2024-01097;2024-11-22;CARTA_CERTIFICADA;COMPROMISO_PAGO;Nataly Poblete Ruiz
GES-000934;DOC-2024-01130;2024-11-22;EMAIL;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000305;DOC-2024-00385;2024-11-23;LLAMADA;DISPUTA;Cristian Bravo Aguilera
GES-000569;DOC-2024-01449;2024-11-27;LLAMADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000838;DOC-2024-00098;2024-11-28;EMAIL;PAGO_PARCIAL;Ximena Toro Pacheco
GES-000166;DOC-2024-01642;2024-11-29;PREJUDICIAL;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000768;DOC-2024-01127;2024-11-29;CARTA_CERTIFICADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-001015;DOC-2024-01392;2024-11-29;VISITA;COMPROMISO_PAGO;Nataly Poblete Ruiz
GES-000490;DOC-2024-00842;2024-12-02;EMAIL;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000600;DOC-2024-00509;2024-12-02;DEMANDA_JUDICIAL;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000518;DOC-2024-00711;2024-12-03;CARTA_CERTIFICADA;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000580;DOC-2024-00793;2024-12-03;CARTA_CERTIFICADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000672;DOC-2024-01690;2024-12-06;EMAIL;COMPROMISO_PAGO;Hector Manriquez Salas
GES-000245;DOC-2024-00292;2024-12-07;LLAMADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000738;DOC-2024-01818;2024-12-09;EMAIL;PAGO_PARCIAL;Hector Manriquez Salas
GES-000783;DOC-2024-00761;2024-12-09;VISITA;DISPUTA;Hector Manriquez Salas
GES-000996;DOC-2024-00062;2024-12-09;CARTA_CERTIFICADA;INCOBRABLE_DECLARADO;Cristian Bravo Aguilera
GES-000547;DOC-2024-00455;2024-12-12;EMAIL;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000132;DOC-2024-01978;2024-12-13;CARTA_CERTIFICADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000411;DOC-2024-01291;2024-12-13;CARTA_CERTIFICADA;DISPUTA;Paula Zambrano Leiva
GES-000143;DOC-2024-00688;2024-12-15;EMAIL;COMPROMISO_PAGO;Ximena Toro Pacheco
GES-000153;DOC-2024-00481;2024-12-15;DEMANDA_JUDICIAL;SIN_RESPUESTA;Hector Manriquez Salas
GES-000170;DOC-2024-01120;2024-12-16;EMAIL;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000287;DOC-2024-00211;2024-12-16;VISITA;COMPROMISO_PAGO;Ximena Toro Pacheco
GES-000497;DOC-2024-01097;2024-12-17;PREJUDICIAL;SIN_RESPUESTA;Nataly Poblete Ruiz
GES-000369;DOC-2024-01114;2024-12-18;LLAMADA;DISPUTA;Nataly Poblete Ruiz
GES-000475;DOC-2024-00584;2024-12-18;CARTA_CERTIFICADA;DISPUTA;Cristian Bravo Aguilera
GES-000363;DOC-2024-01260;2024-12-19;DEMANDA_JUDICIAL;DISPUTA;Cristian Bravo Aguilera
GES-000274;DOC-2024-00351;2024-12-22;CARTA_CERTIFICADA;DISPUTA;Cristian Bravo Aguilera
GES-000280;DOC-2024-00573;2024-12-22;PREJUDICIAL;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000832;DOC-2024-01628;2024-12-24;EMAIL;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000602;DOC-2024-00115;2024-12-25;CARTA_CERTIFICADA;PAGO_PARCIAL;Cristian Bravo Aguilera
GES-000988;DOC-2024-01677;2024-12-25;PREJUDICIAL;COMPROMISO_PAGO;Nataly Poblete Ruiz
GES-000636;DOC-2024-01312;2024-12-26;PREJUDICIAL;COMPROMISO_PAGO;Cristian Bravo Aguilera
GES-000880;DOC-2024-01041;2024-12-26;PREJUDICIAL;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000984;DOC-2024-01408;2024-12-26;PREJUDICIAL;DISPUTA;Hector Manriquez Salas
GES-001016;DOC-2024-00516;2024-12-26;LLAMADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000648;DOC-2024-01532;2024-12-28;LLAMADA;DISPUTA;Paula Zambrano Leiva
GES-000375;DOC-2024-00935;2024-12-29;EMAIL;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000842;DOC-2024-00157;2024-12-30;LLAMADA;PAGO_PARCIAL;Ximena Toro Pacheco
GES-000912;DOC-2024-00107;2024-12-31;CARTA_CERTIFICADA;INCOBRABLE_DECLARADO;Hector Manriquez Salas
GES-000417;DOC-2024-00929;2025-01-02;EMAIL;DISPUTA;Paula Zambrano Leiva
GES-000854;DOC-2024-01822;2025-01-02;LLAMADA;SIN_RESPUESTA;Hector Manriquez Salas
GES-000968;DOC-2024-00459;2025-01-02;EMAIL;COMPROMISO_PAGO;Nataly Poblete Ruiz
GES-000998;DOC-2024-01596;2025-01-02;CARTA_CERTIFICADA;DISPUTA;Ximena Toro Pacheco
GES-000338;DOC-2024-00064;2025-01-05;EMAIL;DISPUTA;Hector Manriquez Salas
GES-000349;DOC-2024-01743;2025-01-06;EMAIL;COMPROMISO_PAGO;Cristian Bravo Aguilera
GES-000306;DOC-2024-00385;2025-01-07;CARTA_CERTIFICADA;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000935;DOC-2024-01130;2025-01-09;CARTA_CERTIFICADA;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000498;DOC-2024-01097;2025-01-10;DEMANDA_JUDICIAL;INCOBRABLE_DECLARADO;Nataly Poblete Ruiz
GES-000258;DOC-2025-03042;2025-01-11;EMAIL;SIN_RESPUESTA;Hector Manriquez Salas
GES-000665;DOC-2024-01684;2025-01-11;LLAMADA;COMPROMISO_PAGO;Nataly Poblete Ruiz
GES-000749;DOC-2024-00156;2025-01-11;EMAIL;INCOBRABLE_DECLARADO;Nataly Poblete Ruiz
GES-000963;DOC-2024-00401;2025-01-11;EMAIL;INCOBRABLE_DECLARADO;Ximena Toro Pacheco
GES-000455;DOC-2024-01483;2025-01-12;LLAMADA;SIN_RESPUESTA;Hector Manriquez Salas
GES-000246;DOC-2024-00292;2025-01-13;PREJUDICIAL;COMPROMISO_PAGO;Ximena Toro Pacheco
GES-000212;DOC-2024-00172;2025-01-17;LLAMADA;PAGO_PARCIAL;Ximena Toro Pacheco
GES-000803;DOC-2024-01390;2025-01-17;LLAMADA;COMPROMISO_PAGO;Hector Manriquez Salas
GES-000290;DOC-2024-00707;2025-01-18;CARTA_CERTIFICADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000449;DOC-2024-00239;2025-01-18;LLAMADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000617;DOC-2024-01609;2025-01-18;LLAMADA;DISPUTA;Ximena Toro Pacheco
GES-000905;DOC-2024-00314;2025-01-19;EMAIL;COMPROMISO_PAGO;Ximena Toro Pacheco
GES-000974;DOC-2024-01196;2025-01-20;EMAIL;DISPUTA;Cristian Bravo Aguilera
GES-000283;DOC-2025-03214;2025-01-22;LLAMADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000415;DOC-2024-00457;2025-01-22;LLAMADA;COMPROMISO_PAGO;Nataly Poblete Ruiz
GES-000985;DOC-2024-01408;2025-01-23;PREJUDICIAL;SIN_RESPUESTA;Hector Manriquez Salas
GES-000370;DOC-2024-01114;2025-01-24;CARTA_CERTIFICADA;INCOBRABLE_DECLARADO;Nataly Poblete Ruiz
GES-001017;DOC-2024-00516;2025-01-26;CARTA_CERTIFICADA;INCOBRABLE_DECLARADO;Ximena Toro Pacheco
GES-000396;DOC-2024-01474;2025-01-28;LLAMADA;COMPROMISO_PAGO;Paula Zambrano Leiva
GES-000491;DOC-2024-00842;2025-01-28;CARTA_CERTIFICADA;INCOBRABLE_DECLARADO;Cristian Bravo Aguilera
GES-000734;DOC-2024-00203;2025-01-30;LLAMADA;COMPROMISO_PAGO;Cristian Bravo Aguilera
GES-000590;DOC-2024-00255;2025-01-31;EMAIL;PAGO_PARCIAL;Ximena Toro Pacheco
GES-000530;DOC-2024-01437;2025-02-01;DEMANDA_JUDICIAL;DISPUTA;Paula Zambrano Leiva
GES-000376;DOC-2024-00935;2025-02-02;LLAMADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000774;DOC-2025-03778;2025-02-02;EMAIL;PAGO_PARCIAL;Paula Zambrano Leiva
GES-000322;DOC-2024-00448;2025-02-03;LLAMADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000720;DOC-2025-03240;2025-02-04;LLAMADA;INCOBRABLE_DECLARADO;Paula Zambrano Leiva
GES-000270;DOC-2024-00072;2025-02-05;EMAIL;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000514;DOC-2024-00063;2025-02-06;CARTA_CERTIFICADA;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000833;DOC-2024-01628;2025-02-06;LLAMADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000618;DOC-2024-01609;2025-02-07;LLAMADA;COMPROMISO_PAGO;Ximena Toro Pacheco
GES-000619;DOC-2024-00618;2025-02-07;EMAIL;SIN_RESPUESTA;Hector Manriquez Salas
GES-000632;DOC-2024-00013;2025-02-09;CARTA_CERTIFICADA;SIN_RESPUESTA;Cristian Bravo Aguilera
GES-000581;DOC-2024-00793;2025-02-10;EMAIL;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000582;DOC-2024-01259;2025-02-10;LLAMADA;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000918;DOC-2024-01912;2025-02-10;LLAMADA;SIN_RESPUESTA;Ximena Toro Pacheco
GES-000339;DOC-2024-00064;2025-02-11;LLAMADA;SIN_RESPUESTA;Hector Manriquez Salas
GES-000913;DOC-2024-00107;2025-02-11;CARTA_CERTIFICADA;SIN_RESPUESTA;Hector Manriquez Salas
GES-001005;DOC-2024-01520;2025-02-11;LLAMADA;INCOBRABLE_DECLARADO;Hector Manriquez Salas
GES-000133;DOC-2024-01978;2025-02-12;PREJUDICIAL;SIN_RESPUESTA;Paula Zambrano Leiva
GES-000786;DOC-2024-01821;2025-02-13;DEMANDA_JUDICIAL;COMPROMISO_PAGO;Paula Zambrano Leiva
